project_code,municipality,site_type,site_code,site_name,traffic_direction,camera_role,camera_name,brand,ip,rtsp_port,rtsp_path,transport,credential_id,username,password
DEMO01,Sample Municipality A,PMI,SITE005,DEMO-PMI-SITE005,,FJ2,DEMO-PMI-SITE005-FJ2,unknown,192.0.2.23,554,/Streaming/Channels/101,tcp,cred_demo_site005,,
DEMO01,Sample Municipality A,PMI,SITE005,DEMO-PMI-SITE005,,FJ3,DEMO-PMI-SITE005-FJ3,unknown,192.0.2.24,554,/Streaming/Channels/101,tcp,cred_demo_site005,,
DEMO01,Sample Municipality A,PMI,SITE005,DEMO-PMI-SITE005,,LPR,DEMO-PMI-SITE005-LPR,unknown,192.0.2.25,554,/Streaming/Channels/101,tcp,cred_demo_site005,,
DEMO01,Sample Municipality A,PMI,SITE006,DEMO-PMI-SITE006,,PTZ,DEMO-PMI-SITE006-PTZ,unknown,192.0.2.26,554,/Streaming/Channels/101,tcp,cred_demo_site006,,
DEMO01,Sample Municipality A,PMI,SITE006,DEMO-PMI-SITE006,,FJ1,DEMO-PMI-SITE006-FJ1,unknown,192.0.2.27,554,/Streaming/Channels/101,tcp,cred_demo_site006,,
DEMO01,Sample Municipality A,PMI,SITE006,DEMO-PMI-SITE006,,FJ2,DEMO-PMI-SITE006-FJ2,unknown,192.0.2.28,554,/Streaming/Channels/101,tcp,cred_demo_site006,,
DEMO01,Sample Municipality A,PMI,SITE006,DEMO-PMI-SITE006,,FJ3,DEMO-PMI-SITE006-FJ3,unknown,192.0.2.29,554,/Streaming/Channels/101,tcp,cred_demo_site006,,
DEMO01,Sample Municipality A,PMI,SITE006,DEMO-PMI-SITE006,,LPR,DEMO-PMI-SITE006-LPR,unknown,192.0.2.30,554,/Streaming/Channels/101,tcp,cred_demo_site006,,
DEMO01,Sample Municipality A,PMI,SITE007,DEMO-PMI-SITE007,,PTZ,DEMO-PMI-SITE007-PTZ,unknown,192.0.2.31,554,/Streaming/Channels/101,tcp,cred_demo_site007,,
DEMO01,Sample Municipality A,PMI,SITE007,DEMO-PMI-SITE007,,FJ1,DEMO-PMI-SITE007-FJ1,unknown,192.0.2.32,554,/Streaming/Channels/101,tcp,cred_demo_site007,,
DEMO01,Sample Municipality A,PMI,SITE007,DEMO-PMI-SITE007,,FJ2,DEMO-PMI-SITE007-FJ2,unknown,192.0.2.33,554,/Streaming/Channels/101,tcp,cred_demo_site007,,
DEMO01,Sample Municipality A,PMI,SITE007,DEMO-PMI-SITE007,,FJ3,DEMO-PMI-SITE007-FJ3,unknown,192.0.2.34,554,/Streaming/Channels/101,tcp,cred_demo_site007,,
DEMO01,Sample Municipality A,PMI,SITE007,DEMO-PMI-SITE007,,LPR,DEMO-PMI-SITE007-LPR,unknown,192.0.2.35,554,/Streaming/Channels/101,tcp,cred_demo_site007,,
DEMO01,Sample Municipality A,PMI,SITE008,DEMO-PMI-SITE008,,PTZ,DEMO-PMI-SITE008-PTZ,unknown,192.0.2.36,554,/Streaming/Channels/101,tcp,cred_demo_site008,,
DEMO01,Sample Municipality A,PMI,SITE008,DEMO-PMI-SITE008,,FJ1,DEMO-PMI-SITE008-FJ1,unknown,192.0.2.37,554,/Streaming/Channels/101,tcp,cred_demo_site008,,
DEMO01,Sample Municipality A,PMI,SITE008,DEMO-PMI-SITE008,,FJ2,DEMO-PMI-SITE008-FJ2,unknown,192.0.2.38,554,/Streaming/Channels/101,tcp,cred_demo_site008,,
DEMO01,Sample Municipality A,PMI,SITE008,DEMO-PMI-SITE008,,FJ3,DEMO-PMI-SITE008-FJ3,unknown,192.0.2.39,554,/Streaming/Channels/101,tcp,cred_demo_site008,,
DEMO01,Sample Municipality A,PMI,SITE008,DEMO-PMI-SITE008,,LPR,DEMO-PMI-SITE008-LPR,unknown,192.0.2.40,554,/Streaming/Channels/101,tcp,cred_demo_site008,,
DEMO01,Sample Municipality A,PMI,SITE009,DEMO-PMI-SITE009,,PTZ,DEMO-PMI-SITE009-PTZ,unknown,192.0.2.41,554,/Streaming/Channels/101,tcp,cred_demo_site009,,
DEMO01,Sample Municipality A,PMI,SITE009,DEMO-PMI-SITE009,,FJ1,DEMO-PMI-SITE009-FJ1,unknown,192.0.2.42,554,/Streaming/Channels/101,tcp,cred_demo_site009,,
DEMO01,Sample Municipality A,PMI,SITE009,DEMO-PMI-SITE009,,FJ2,DEMO-PMI-SITE009-FJ2,unknown,192.0.2.43,554,/Streaming/Channels/101,tcp,cred_demo_site009,,
DEMO01,Sample Municipality A,PMI,SITE009,DEMO-PMI-SITE009,,FJ3,DEMO-PMI-SITE009-FJ3,unknown,192.0.2.44,554,/Streaming/Channels/101,tcp,cred_demo_site009,,
DEMO01,Sample Municipality A,PMI,SITE009,DEMO-PMI-SITE009,,LPR,DEMO-PMI-SITE009-LPR,unknown,192.0.2.45,554,/Streaming/Channels/101,tcp,cred_demo_site009,,
DEMO01,Sample Municipality A,PMI,SITE010,DEMO-PMI-SITE010,,PTZ,DEMO-PMI-SITE010-PTZ,unknown,192.0.2.46,554,/Streaming/Channels/101,tcp,cred_demo_site010,,
DEMO01,Sample Municipality A,PMI,SITE010,DEMO-PMI-SITE010,,FJ1,DEMO-PMI-SITE010-FJ1,unknown,192.0.2.47,554,/Streaming/Channels/101,tcp,cred_demo_site010,,
DEMO01,Sample Municipality A,PMI,SITE010,DEMO-PMI-SITE010,,FJ2,DEMO-PMI-SITE010-FJ2,unknown,192.0.2.48,554,/Streaming/Channels/101,tcp,cred_demo_site010,,
DEMO01,Sample Municipality A,PMI,SITE010,DEMO-PMI-SITE010,,FJ3,DEMO-PMI-SITE010-FJ3,unknown,192.0.2.49,554,/Streaming/Channels/101,tcp,cred_demo_site010,,
DEMO01,Sample Municipality A,PMI,SITE010,DEMO-PMI-SITE010,,LPR,DEMO-PMI-SITE010-LPR,unknown,192.0.2.50,554,/Streaming/Channels/101,tcp,cred_demo_site010,,
DEMO01,Sample Municipality A,PMI,SITE011,DEMO-PMI-SITE011,,PTZ,DEMO-PMI-SITE011-PTZ,unknown,192.0.2.51,554,/Streaming/Channels/101,tcp,cred_demo_site011,,
DEMO01,Sample Municipality A,PMI,SITE011,DEMO-PMI-SITE011,,FJ1,DEMO-PMI-SITE011-FJ1,unknown,192.0.2.52,554,/Streaming/Channels/101,tcp,cred_demo_site011,,
DEMO01,Sample Municipality A,PMI,SITE011,DEMO-PMI-SITE011,,FJ2,DEMO-PMI-SITE011-FJ2,unknown,192.0.2.53,554,/Streaming/Channels/101,tcp,cred_demo_site011,,
DEMO01,Sample Municipality A,PMI,SITE011,DEMO-PMI-SITE011,,FJ3,DEMO-PMI-SITE011-FJ3,unknown,192.0.2.54,554,/Streaming/Channels/101,tcp,cred_demo_site011,,
DEMO01,Sample Municipality A,PMI,SITE011,DEMO-PMI-SITE011,,LPR,DEMO-PMI-SITE011-LPR,unknown,192.0.2.55,554,/Streaming/Channels/101,tcp,cred_demo_site011,,
DEMO01,Sample Municipality A,PMI,SITE012,DEMO-PMI-SITE012,,PTZ,DEMO-PMI-SITE012-PTZ,unknown,192.0.2.56,554,/Streaming/Channels/101,tcp,cred_demo_site012,,
DEMO01,Sample Municipality A,PMI,SITE012,DEMO-PMI-SITE012,,FJ1,DEMO-PMI-SITE012-FJ1,unknown,192.0.2.57,554,/Streaming/Channels/101,tcp,cred_demo_site012,,
DEMO01,Sample Municipality A,PMI,SITE012,DEMO-PMI-SITE012,,FJ2,DEMO-PMI-SITE012-FJ2,unknown,192.0.2.58,554,/Streaming/Channels/101,tcp,cred_demo_site012,,
DEMO01,Sample Municipality A,PMI,SITE012,DEMO-PMI-SITE012,,FJ3,DEMO-PMI-SITE012-FJ3,unknown,192.0.2.59,554,/Streaming/Channels/101,tcp,cred_demo_site012,,
DEMO01,Sample Municipality A,PMI,SITE012,DEMO-PMI-SITE012,,LPR,DEMO-PMI-SITE012-LPR,unknown,192.0.2.60,554,/Streaming/Channels/101,tcp,cred_demo_site012,,
DEMO01,Sample Municipality A,PMI,SITE013,DEMO-PMI-SITE013,,PTZ,DEMO-PMI-SITE013-PTZ,unknown,192.0.2.61,554,/Streaming/Channels/101,tcp,cred_demo_site013,,
DEMO01,Sample Municipality A,PMI,SITE013,DEMO-PMI-SITE013,,FJ1,DEMO-PMI-SITE013-FJ1,unknown,192.0.2.62,554,/Streaming/Channels/101,tcp,cred_demo_site013,,
DEMO01,Sample Municipality A,PMI,SITE013,DEMO-PMI-SITE013,,FJ2,DEMO-PMI-SITE013-FJ2,unknown,192.0.2.63,554,/Streaming/Channels/101,tcp,cred_demo_site013,,
DEMO01,Sample Municipality A,PMI,SITE013,DEMO-PMI-SITE013,,FJ3,DEMO-PMI-SITE013-FJ3,unknown,192.0.2.64,554,/Streaming/Channels/101,tcp,cred_demo_site013,,
DEMO01,Sample Municipality A,PMI,SITE013,DEMO-PMI-SITE013,,LPR,DEMO-PMI-SITE013-LPR,unknown,192.0.2.65,554,/Streaming/Channels/101,tcp,cred_demo_site013,,
DEMO01,Sample Municipality A,PMI,SITE014,DEMO-PMI-SITE014,,PTZ,DEMO-PMI-SITE014-PTZ,unknown,192.0.2.66,554,/Streaming/Channels/101,tcp,cred_demo_site014,,
DEMO01,Sample Municipality A,PMI,SITE014,DEMO-PMI-SITE014,,FJ1,DEMO-PMI-SITE014-FJ1,unknown,192.0.2.67,554,/Streaming/Channels/101,tcp,cred_demo_site014,,
DEMO01,Sample Municipality A,PMI,SITE014,DEMO-PMI-SITE014,,FJ2,DEMO-PMI-SITE014-FJ2,unknown,192.0.2.68,554,/Streaming/Channels/101,tcp,cred_demo_site014,,
DEMO01,Sample Municipality A,PMI,SITE014,DEMO-PMI-SITE014,,FJ3,DEMO-PMI-SITE014-FJ3,unknown,192.0.2.69,554,/Streaming/Channels/101,tcp,cred_demo_site014,,
DEMO01,Sample Municipality A,PMI,SITE014,DEMO-PMI-SITE014,,LPR,DEMO-PMI-SITE014-LPR,unknown,192.0.2.70,554,/Streaming/Channels/101,tcp,cred_demo_site014,,
DEMO01,Sample Municipality A,PMI,SITE015,DEMO-PMI-SITE015,,PTZ,DEMO-PMI-SITE015-PTZ,unknown,192.0.2.71,554,/Streaming/Channels/101,tcp,cred_demo_site015,,
DEMO01,Sample Municipality A,PMI,SITE015,DEMO-PMI-SITE015,,FJ1,DEMO-PMI-SITE015-FJ1,unknown,192.0.2.72,554,/Streaming/Channels/101,tcp,cred_demo_site015,,
DEMO01,Sample Municipality A,PMI,SITE015,DEMO-PMI-SITE015,,FJ2,DEMO-PMI-SITE015-FJ2,unknown,192.0.2.73,554,/Streaming/Channels/101,tcp,cred_demo_site015,,
DEMO01,Sample Municipality A,PMI,SITE015,DEMO-PMI-SITE015,,FJ3,DEMO-PMI-SITE015-FJ3,unknown,192.0.2.74,554,/Streaming/Channels/101,tcp,cred_demo_site015,,
DEMO01,Sample Municipality A,PMI,SITE015,DEMO-PMI-SITE015,,LPR,DEMO-PMI-SITE015-LPR,unknown,192.0.2.75,554,/Streaming/Channels/101,tcp,cred_demo_site015,,
DEMO01,Sample Municipality A,PMI,SITE016,DEMO-PMI-SITE016,,PTZ,DEMO-PMI-SITE016-PTZ,unknown,192.0.2.76,554,/Streaming/Channels/101,tcp,cred_demo_site016,,
DEMO01,Sample Municipality A,PMI,SITE016,DEMO-PMI-SITE016,,FJ1,DEMO-PMI-SITE016-FJ1,unknown,192.0.2.77,554,/Streaming/Channels/101,tcp,cred_demo_site016,,
DEMO01,Sample Municipality A,PMI,SITE016,DEMO-PMI-SITE016,,FJ2,DEMO-PMI-SITE016-FJ2,unknown,192.0.2.78,554,/Streaming/Channels/101,tcp,cred_demo_site016,,
DEMO01,Sample Municipality A,PMI,SITE016,DEMO-PMI-SITE016,,FJ3,DEMO-PMI-SITE016-FJ3,unknown,192.0.2.79,554,/Streaming/Channels/101,tcp,cred_demo_site016,,
DEMO01,Sample Municipality A,PMI,SITE016,DEMO-PMI-SITE016,,LPR,DEMO-PMI-SITE016-LPR,unknown,192.0.2.80,554,/Streaming/Channels/101,tcp,cred_demo_site016,,
DEMO01,Sample Municipality A,PMI,SITE017,DEMO-PMI-SITE017,,PTZ,DEMO-PMI-SITE017-PTZ,unknown,192.0.2.81,554,/Streaming/Channels/101,tcp,cred_demo_site017,,
DEMO01,Sample Municipality A,PMI,SITE017,DEMO-PMI-SITE017,,FJ1,DEMO-PMI-SITE017-FJ1,unknown,192.0.2.82,554,/Streaming/Channels/101,tcp,cred_demo_site017,,
DEMO01,Sample Municipality A,PMI,SITE017,DEMO-PMI-SITE017,,FJ2,DEMO-PMI-SITE017-FJ2,unknown,192.0.2.83,554,/Streaming/Channels/101,tcp,cred_demo_site017,,
DEMO01,Sample Municipality A,PMI,SITE017,DEMO-PMI-SITE017,,FJ3,DEMO-PMI-SITE017-FJ3,unknown,192.0.2.84,554,/Streaming/Channels/101,tcp,cred_demo_site017,,
DEMO01,Sample Municipality A,PMI,SITE017,DEMO-PMI-SITE017,,LPR,DEMO-PMI-SITE017-LPR,unknown,192.0.2.85,554,/Streaming/Channels/101,tcp,cred_demo_site017,,
DEMO01,Sample Municipality A,PMI,SITE018,DEMO-PMI-SITE018,,PTZ,DEMO-PMI-SITE018-PTZ,unknown,192.0.2.86,554,/Streaming/Channels/101,tcp,cred_demo_site018,,
DEMO01,Sample Municipality A,PMI,SITE018,DEMO-PMI-SITE018,,FJ1,DEMO-PMI-SITE018-FJ1,unknown,192.0.2.87,554,/Streaming/Channels/101,tcp,cred_demo_site018,,
DEMO01,Sample Municipality A,PMI,SITE018,DEMO-PMI-SITE018,,FJ2,DEMO-PMI-SITE018-FJ2,unknown,192.0.2.88,554,/Streaming/Channels/101,tcp,cred_demo_site018,,
DEMO01,Sample Municipality A,PMI,SITE018,DEMO-PMI-SITE018,,FJ3,DEMO-PMI-SITE018-FJ3,unknown,192.0.2.89,554,/Streaming/Channels/101,tcp,cred_demo_site018,,
DEMO01,Sample Municipality A,PMI,SITE018,DEMO-PMI-SITE018,,LPR,DEMO-PMI-SITE018-LPR,unknown,192.0.2.90,554,/Streaming/Channels/101,tcp,cred_demo_site018,,
DEMO01,Sample Municipality A,PMI,SITE019,DEMO-PMI-SITE019,,PTZ,DEMO-PMI-SITE019-PTZ,unknown,192.0.2.91,554,/Streaming/Channels/101,tcp,cred_demo_site019,,
DEMO01,Sample Municipality A,PMI,SITE019,DEMO-PMI-SITE019,,FJ1,DEMO-PMI-SITE019-FJ1,unknown,192.0.2.92,554,/Streaming/Channels/101,tcp,cred_demo_site019,,
DEMO01,Sample Municipality A,PMI,SITE019,DEMO-PMI-SITE019,,FJ2,DEMO-PMI-SITE019-FJ2,unknown,192.0.2.93,554,/Streaming/Channels/101,tcp,cred_demo_site019,,
DEMO01,Sample Municipality A,PMI,SITE019,DEMO-PMI-SITE019,,FJ3,DEMO-PMI-SITE019-FJ3,unknown,192.0.2.94,554,/Streaming/Channels/101,tcp,cred_demo_site019,,
DEMO01,Sample Municipality A,PMI,SITE019,DEMO-PMI-SITE019,,LPR,DEMO-PMI-SITE019-LPR,unknown,192.0.2.95,554,/Streaming/Channels/101,tcp,cred_demo_site019,,
DEMO01,Sample Municipality A,PMI,SITE020,DEMO-PMI-SITE020,,PTZ,DEMO-PMI-SITE020-PTZ,unknown,192.0.2.96,554,/Streaming/Channels/101,tcp,cred_demo_site020,,
DEMO01,Sample Municipality A,PMI,SITE020,DEMO-PMI-SITE020,,FJ1,DEMO-PMI-SITE020-FJ1,unknown,192.0.2.97,554,/Streaming/Channels/101,tcp,cred_demo_site020,,
DEMO01,Sample Municipality A,PMI,SITE020,DEMO-PMI-SITE020,,FJ2,DEMO-PMI-SITE020-FJ2,unknown,192.0.2.98,554,/Streaming/Channels/101,tcp,cred_demo_site020,,
DEMO01,Sample Municipality A,PMI,SITE020,DEMO-PMI-SITE020,,FJ3,DEMO-PMI-SITE020-FJ3,unknown,192.0.2.99,554,/Streaming/Channels/101,tcp,cred_demo_site020,,
DEMO01,Sample Municipality A,PMI,SITE020,DEMO-PMI-SITE020,,LPR,DEMO-PMI-SITE020-LPR,unknown,192.0.2.100,554,/Streaming/Channels/101,tcp,cred_demo_site020,,
DEMO01,Sample Municipality A,PMI,SITE021,DEMO-PMI-SITE021,,PTZ,DEMO-PMI-SITE021-PTZ,unknown,192.0.2.101,554,/Streaming/Channels/101,tcp,cred_demo_site021,,
DEMO01,Sample Municipality A,PMI,SITE021,DEMO-PMI-SITE021,,FJ1,DEMO-PMI-SITE021-FJ1,unknown,192.0.2.102,554,/Streaming/Channels/101,tcp,cred_demo_site021,,
DEMO01,Sample Municipality A,PMI,SITE021,DEMO-PMI-SITE021,,FJ2,DEMO-PMI-SITE021-FJ2,unknown,192.0.2.103,554,/Streaming/Channels/101,tcp,cred_demo_site021,,
DEMO01,Sample Municipality A,PMI,SITE021,DEMO-PMI-SITE021,,FJ3,DEMO-PMI-SITE021-FJ3,unknown,192.0.2.104,554,/Streaming/Channels/101,tcp,cred_demo_site021,,
DEMO01,Sample Municipality A,PMI,SITE021,DEMO-PMI-SITE021,,LPR,DEMO-PMI-SITE021-LPR,unknown,192.0.2.105,554,/Streaming/Channels/101,tcp,cred_demo_site021,,
DEMO01,Sample Municipality A,PMI,SITE022,DEMO-PMI-SITE022,,PTZ,DEMO-PMI-SITE022-PTZ,unknown,192.0.2.106,554,/Streaming/Channels/101,tcp,cred_demo_site022,,
DEMO01,Sample Municipality A,PMI,SITE022,DEMO-PMI-SITE022,,FJ1,DEMO-PMI-SITE022-FJ1,unknown,192.0.2.107,554,/Streaming/Channels/101,tcp,cred_demo_site022,,
DEMO01,Sample Municipality A,PMI,SITE022,DEMO-PMI-SITE022,,FJ2,DEMO-PMI-SITE022-FJ2,unknown,192.0.2.108,554,/Streaming/Channels/101,tcp,cred_demo_site022,,
DEMO01,Sample Municipality A,PMI,SITE022,DEMO-PMI-SITE022,,FJ3,DEMO-PMI-SITE022-FJ3,unknown,192.0.2.109,554,/Streaming/Channels/101,tcp,cred_demo_site022,,
DEMO01,Sample Municipality A,PMI,SITE022,DEMO-PMI-SITE022,,LPR,DEMO-PMI-SITE022-LPR,unknown,192.0.2.110,554,/Streaming/Channels/101,tcp,cred_demo_site022,,
DEMO01,Sample Municipality A,PMI,SITE023,DEMO-PMI-SITE023,,PTZ,DEMO-PMI-SITE023-PTZ,unknown,192.0.2.111,554,/Streaming/Channels/101,tcp,cred_demo_site023,,
DEMO01,Sample Municipality A,PMI,SITE023,DEMO-PMI-SITE023,,FJ1,DEMO-PMI-SITE023-FJ1,unknown,192.0.2.112,554,/Streaming/Channels/101,tcp,cred_demo_site023,,
DEMO01,Sample Municipality A,PMI,SITE023,DEMO-PMI-SITE023,,FJ2,DEMO-PMI-SITE023-FJ2,unknown,192.0.2.113,554,/Streaming/Channels/101,tcp,cred_demo_site023,,
DEMO01,Sample Municipality A,PMI,SITE023,DEMO-PMI-SITE023,,FJ3,DEMO-PMI-SITE023-FJ3,unknown,192.0.2.114,554,/Streaming/Channels/101,tcp,cred_demo_site023,,
DEMO01,Sample Municipality A,PMI,SITE023,DEMO-PMI-SITE023,,LPR,DEMO-PMI-SITE023-LPR,unknown,192.0.2.115,554,/Streaming/Channels/101,tcp,cred_demo_site023,,
DEMO01,Sample Municipality A,PMI,SITE024,DEMO-PMI-SITE024,,PTZ,DEMO-PMI-SITE024-PTZ,unknown,192.0.2.116,554,/Streaming/Channels/101,tcp,cred_demo_site024,,
DEMO01,Sample Municipality A,PMI,SITE024,DEMO-PMI-SITE024,,FJ1,DEMO-PMI-SITE024-FJ1,unknown,192.0.2.117,554,/Streaming/Channels/101,tcp,cred_demo_site024,,
DEMO01,Sample Municipality A,PMI,SITE024,DEMO-PMI-SITE024,,FJ2,DEMO-PMI-SITE024-FJ2,unknown,192.0.2.118,554,/Streaming/Channels/101,tcp,cred_demo_site024,,
DEMO01,Sample Municipality A,PMI,SITE024,DEMO-PMI-SITE024,,FJ3,DEMO-PMI-SITE024-FJ3,unknown,192.0.2.119,554,/Streaming/Channels/101,tcp,cred_demo_site024,,
DEMO01,Sample Municipality A,PMI,SITE024,DEMO-PMI-SITE024,,LPR,DEMO-PMI-SITE024-LPR,unknown,192.0.2.120,554,/Streaming/Channels/101,tcp,cred_demo_site024,,
DEMO01,Sample Municipality A,PMI,SITE025,DEMO-PMI-SITE025,,PTZ,DEMO-PMI-SITE025-PTZ,unknown,192.0.2.121,554,/Streaming/Channels/101,tcp,cred_demo_site025,,
DEMO01,Sample Municipality A,PMI,SITE025,DEMO-PMI-SITE025,,FJ1,DEMO-PMI-SITE025-FJ1,unknown,192.0.2.122,554,/Streaming/Channels/101,tcp,cred_demo_site025,,
DEMO01,Sample Municipality A,PMI,SITE025,DEMO-PMI-SITE025,,FJ2,DEMO-PMI-SITE025-FJ2,unknown,192.0.2.123,554,/Streaming/Channels/101,tcp,cred_demo_site025,,
DEMO01,Sample Municipality A,PMI,SITE025,DEMO-PMI-SITE025,,FJ3,DEMO-PMI-SITE025-FJ3,unknown,192.0.2.124,554,/Streaming/Channels/101,tcp,cred_demo_site025,,
DEMO01,Sample Municipality A,PMI,SITE025,DEMO-PMI-SITE025,,LPR,DEMO-PMI-SITE025-LPR,unknown,192.0.2.125,554,/Streaming/Channels/101,tcp,cred_demo_site025,,
DEMO01,Sample Municipality A,PMI,SITE026,DEMO-PMI-SITE026,,PTZ,DEMO-PMI-SITE026-PTZ,unknown,192.0.2.126,554,/Streaming/Channels/101,tcp,cred_demo_site026,,
DEMO01,Sample Municipality A,PMI,SITE026,DEMO-PMI-SITE026,,FJ1,DEMO-PMI-SITE026-FJ1,unknown,192.0.2.127,554,/Streaming/Channels/101,tcp,cred_demo_site026,,
DEMO01,Sample Municipality A,PMI,SITE026,DEMO-PMI-SITE026,,FJ2,DEMO-PMI-SITE026-FJ2,unknown,192.0.2.128,554,/Streaming/Channels/101,tcp,cred_demo_site026,,
DEMO01,Sample Municipality A,PMI,SITE026,DEMO-PMI-SITE026,,FJ3,DEMO-PMI-SITE026-FJ3,unknown,192.0.2.129,554,/Streaming/Channels/101,tcp,cred_demo_site026,,
DEMO01,Sample Municipality A,PMI,SITE026,DEMO-PMI-SITE026,,LPR,DEMO-PMI-SITE026-LPR,unknown,192.0.2.130,554,/Streaming/Channels/101,tcp,cred_demo_site026,,
DEMO01,Sample Municipality A,PMI,SITE027,DEMO-PMI-SITE027,,PTZ,DEMO-PMI-SITE027-PTZ,unknown,192.0.2.131,554,/Streaming/Channels/101,tcp,cred_demo_site027,,
DEMO01,Sample Municipality A,PMI,SITE027,DEMO-PMI-SITE027,,FJ1,DEMO-PMI-SITE027-FJ1,unknown,192.0.2.132,554,/Streaming/Channels/101,tcp,cred_demo_site027,,
DEMO01,Sample Municipality A,PMI,SITE027,DEMO-PMI-SITE027,,FJ2,DEMO-PMI-SITE027-FJ2,unknown,192.0.2.133,554,/Streaming/Channels/101,tcp,cred_demo_site027,,
